time,position
0.002,0.698
0.005,0.697
0.007,0.696
0.009,0.695
0.011,0.694
0.013,0.693
0.016,0.692
0.018,0.691
0.021,0.69
0.024,0.689
0.026,0.688
0.029,0.687
0.031,0.686
0.033,0.685
0.035,0.684
0.038,0.683
0.04,0.682
0.042,0.681
0.044,0.68
0.047,0.679
0.049,0.678
0.051,0.677
0.053,0.676
0.055,0.675
0.057,0.674
0.06,0.673
0.062,0.672
0.064,0.671
0.066,0.67
0.068,0.669
0.07,0.668
0.072,0.667
0.074,0.666
0.076,0.665
0.079,0.664
0.081,0.663
0.083,0.662
0.086,0.661
0.088,0.66
0.09,0.659
0.092,0.658
0.095,0.657
0.098,0.656
0.1,0.655
0.102,0.654
0.105,0.653
0.107,0.652
0.11,0.651
0.112,0.65
0.114,0.649
0.117,0.648
0.119,0.647
0.122,0.646
0.124,0.645
0.126,0.644
0.128,0.643
0.131,0.642
0.133,0.641
0.135,0.64
0.138,0.639
0.14,0.638
0.143,0.637
0.145,0.636
0.148,0.635
0.15,0.634
0.153,0.633
0.156,0.632
0.159,0.631
0.161,0.63
0.163,0.629
0.166,0.628
0.168,0.627
0.17,0.626
0.173,0.625
0.175,0.624
0.178,0.623
0.18,0.622
0.182,0.621
0.185,0.62
0.188,0.619
0.19,0.618
0.192,0.617
0.195,0.616
0.197,0.615
0.2,0.614
0.203,0.613
0.205,0.612
0.207,0.611
0.21,0.61
0.212,0.609
0.215,0.608
0.218,0.607
0.22,0.606
0.222,0.605
0.224,0.604
0.227,0.603
0.23,0.602
0.233,0.601
0.235,0.6
0.238,0.599
0.24,0.598
0.243,0.597
0.245,0.596
0.248,0.595
0.251,0.594
0.254,0.593
0.256,0.592
0.259,0.591
0.261,0.59
0.264,0.589
0.266,0.588
0.269,0.587
0.271,0.586
0.274,0.585
0.277,0.584
0.279,0.583
0.281,0.582
0.284,0.581
0.286,0.58
0.289,0.579
0.292,0.578
0.295,0.577
0.297,0.576
0.3,0.575
0.302,0.574
0.305,0.573
0.308,0.572
0.311,0.571
0.313,0.57
0.316,0.569
0.319,0.568
0.322,0.567
0.325,0.566
0.327,0.565
0.33,0.564
0.333,0.563
0.336,0.562
0.339,0.561
0.342,0.56
0.345,0.559
0.347,0.558
0.35,0.557
0.352,0.556
0.356,0.555
0.358,0.554
0.361,0.553
0.364,0.552
0.367,0.551
0.369,0.55
0.372,0.549
0.374,0.548
0.378,0.547
0.38,0.546
0.383,0.545
0.386,0.544
0.389,0.543
0.392,0.542
0.395,0.541
0.398,0.54
0.401,0.539
0.404,0.538
0.407,0.537
0.41,0.536
0.413,0.535
0.416,0.534
0.419,0.533
0.422,0.532
0.425,0.531
0.427,0.53
0.43,0.529
0.432,0.528
0.435,0.527
0.438,0.526
0.441,0.525
0.444,0.524
0.447,0.523
0.449,0.522
0.452,0.521
0.455,0.52
0.458,0.519
0.461,0.518
0.464,0.517
0.467,0.516
0.47,0.515
0.473,0.514
0.476,0.513
0.479,0.512
0.482,0.511
0.485,0.51
0.488,0.509
0.491,0.508
0.493,0.507
0.497,0.506
0.5,0.505
0.503,0.504
0.505,0.503
0.508,0.502
0.511,0.501
0.514,0.5
0.517,0.499
0.52,0.498
0.523,0.497
0.526,0.496
0.529,0.495
0.532,0.494
0.535,0.493
0.538,0.492
0.54,0.491
0.543,0.49
0.546,0.489
0.549,0.488
0.552,0.487
0.555,0.486
0.558,0.485
0.561,0.484
0.564,0.483
0.567,0.482
0.57,0.481
0.573,0.48
0.576,0.479
0.58,0.478
0.583,0.477
0.586,0.476
0.59,0.475
0.593,0.474
0.596,0.473
0.599,0.472
0.603,0.471
0.606,0.47
0.609,0.469
0.612,0.468
0.615,0.467
0.618,0.466
0.621,0.465
0.624,0.464
0.628,0.463
0.631,0.462
0.634,0.461
0.637,0.46
0.641,0.459
0.644,0.458
0.648,0.457
0.651,0.456
0.654,0.455
0.657,0.454
0.661,0.453
0.664,0.452
0.668,0.451
0.671,0.45
0.675,0.449
0.678,0.448
0.682,0.447
0.685,0.446
0.688,0.445
0.691,0.444
0.695,0.443
0.698,0.442
0.702,0.441
0.705,0.44
0.709,0.439
0.712,0.438
0.715,0.437
0.718,0.436
0.723,0.435
0.726,0.434
0.729,0.433
0.732,0.432
0.737,0.431
0.74,0.43
0.744,0.429
0.747,0.428
0.751,0.427
0.754,0.426
0.758,0.425
0.762,0.424
0.765,0.423
0.769,0.422
0.773,0.421
0.776,0.42
0.78,0.419
0.784,0.418
0.788,0.417
0.791,0.416
0.795,0.415
0.799,0.414
0.802,0.413
0.805,0.412
0.809,0.411
0.812,0.41
0.816,0.409
0.82,0.408
0.823,0.407
0.826,0.406
0.83,0.405
0.833,0.404
0.837,0.403
0.841,0.402
0.845,0.401
0.848,0.4
0.852,0.399
0.855,0.398
0.859,0.397
0.862,0.396
0.866,0.395
0.869,0.394
0.873,0.393
0.876,0.392
0.879,0.391
0.883,0.39
0.887,0.389
0.89,0.388
0.894,0.387
0.898,0.386
0.901,0.385
0.905,0.384
0.909,0.383
0.912,0.382
0.916,0.381
0.92,0.38
0.924,0.379
0.927,0.378
0.931,0.377
0.934,0.376
0.937,0.375
0.941,0.374
0.945,0.373
0.948,0.372
0.953,0.371
0.957,0.37
0.961,0.369
0.964,0.368
0.969,0.367
0.972,0.366
0.976,0.365
0.979,0.364
0.982,0.363
0.986,0.362
0.99,0.361
0.993,0.36
0.998,0.359
1.001,0.358
1.006,0.357
1.01,0.356
1.014,0.355
1.018,0.354
1.023,0.353
1.027,0.352
1.032,0.351
1.035,0.35
1.039,0.349
1.043,0.348
1.047,0.347
1.05,0.346
1.055,0.345
1.059,0.344
1.063,0.343
1.066,0.342
1.071,0.341
1.074,0.34
1.079,0.339
1.082,0.338
1.088,0.337
1.091,0.336
1.096,0.335
1.1,0.334
1.104,0.333
1.108,0.332
1.112,0.331
1.117,0.33
1.121,0.329
1.125,0.328
1.129,0.327
1.132,0.326
1.136,0.325
1.14,0.324
1.144,0.323
1.147,0.322
1.15,0.321
1.154,0.32
1.158,0.319
1.162,0.318
1.167,0.317
1.171,0.316
1.176,0.315
1.179,0.314
1.184,0.313
1.189,0.312
1.194,0.311
1.198,0.31
1.203,0.309
1.207,0.308
1.212,0.307
1.216,0.306
1.222,0.305
1.226,0.304
1.231,0.303
1.235,0.302
1.24,0.301
1.244,0.3
1.248,0.299
1.252,0.298
1.258,0.297
1.261,0.296
1.266,0.295
1.27,0.294
1.274,0.293
1.279,0.292
1.284,0.291
1.288,0.29
1.294,0.289
1.298,0.288
1.303,0.287
1.306,0.286
1.311,0.285
1.316,0.284
1.321,0.283
1.326,0.282
1.331,0.281
1.334,0.28
1.339,0.279
1.344,0.278
1.349,0.277
1.353,0.276
1.359,0.275
1.363,0.274
1.369,0.273
1.373,0.272
1.378,0.271
1.383,0.27
1.389,0.269
1.393,0.268
1.399,0.267
1.403,0.266
1.409,0.265
1.413,0.264
1.419,0.263
1.423,0.262
1.429,0.261
1.433,0.26
1.439,0.259
1.443,0.258
1.449,0.257
1.453,0.256
1.459,0.255
1.463,0.254
1.469,0.253
1.473,0.252
1.479,0.251
1.483,0.25
1.489,0.249
1.494,0.248
1.499,0.247
1.503,0.246
1.509,0.245
1.513,0.244
1.519,0.243
1.523,0.242
1.529,0.241
1.534,0.24
1.539,0.239
1.544,0.238
1.549,0.237
1.553,0.236
1.559,0.235
1.563,0.234
1.569,0.233
1.573,0.232
1.578,0.231
1.583,0.23
1.588,0.229
1.593,0.228
1.599,0.227
1.603,0.226
1.609,0.225
1.613,0.224
1.619,0.223
1.623,0.222
1.628,0.221
1.633,0.22
1.639,0.219
1.644,0.218
1.649,0.217
1.653,0.216
1.659,0.215
1.663,0.214
1.669,0.213
1.673,0.212
1.679,0.211
1.684,0.21
1.689,0.209
1.694,0.208
1.699,0.207
1.703,0.206
1.709,0.205
1.713,0.204
1.719,0.203
1.723,0.202
1.728,0.201
1.733,0.2
1.738,0.199
1.743,0.198
1.749,0.197
1.753,0.196
1.759,0.195
1.763,0.194
1.769,0.193
1.773,0.192
1.778,0.191
1.783,0.19
1.789,0.189
1.793,0.188
1.799,0.187
1.803,0.186
1.809,0.185
1.813,0.184
1.819,0.183
1.823,0.182
1.829,0.181
1.833,0.18
1.839,0.179
1.844,0.178
1.849,0.177
1.853,0.176
1.859,0.175
1.863,0.174
1.869,0.173
1.873,0.172
1.879,0.171
1.883,0.17
1.888,0.169
1.893,0.168
1.899,0.167
1.903,0.166
1.909,0.165
1.913,0.164
1.919,0.163
1.923,0.162
1.928,0.161
1.933,0.16
1.939,0.159
1.943,0.158
1.949,0.157
1.953,0.156
1.959,0.155
1.963,0.154
1.969,0.153
1.973,0.152
1.979,0.151
1.983,0.15
1.989,0.149
1.993,0.148
1.999,0.147
2.003,0.146
2.009,0.145
2.013,0.144
2.019,0.143
2.023,0.142
2.029,0.141
2.033,0.14
2.038,0.139
2.043,0.138
2.049,0.137
2.053,0.136
2.059,0.135
2.063,0.134
2.069,0.133
2.073,0.132
2.079,0.131
2.083,0.13
2.089,0.129
2.093,0.128
2.099,0.127
2.103,0.126
2.109,0.125
2.113,0.124
2.119,0.123
2.123,0.122
2.129,0.121
2.134,0.12
2.139,0.119
2.143,0.118
2.149,0.117
2.153,0.116
2.159,0.115
2.163,0.114
2.168,0.113
2.173,0.112
2.179,0.111
2.183,0.11
2.188,0.109
2.193,0.108
2.199,0.107
2.203,0.106
2.209,0.105
2.213,0.104
2.219,0.103
2.223,0.102
2.229,0.101
2.234,0.1
2.239,0.099
2.244,0.098
2.249,0.097
2.254,0.096
2.259,0.095
2.264,0.094
2.269,0.093
2.274,0.092
2.28,0.091
2.285,0.09
2.29,0.089
2.294,0.088
2.3,0.087
2.305,0.086
2.31,0.085
2.316,0.084
2.321,0.083
2.326,0.082
2.333,0.081
2.338,0.08
2.344,0.079
2.349,0.078
2.354,0.077
2.359,0.076
2.365,0.075
2.371,0.074
2.377,0.073
2.381,0.072
2.387,0.071
2.393,0.07
2.4,0.069
2.404,0.068
2.411,0.067
2.417,0.066
2.423,0.065
2.427,0.064
2.433,0.063
2.439,0.062
2.446,0.061
2.451,0.06
2.457,0.059
2.464,0.058
2.47,0.057
2.475,0.056
2.481,0.055
2.486,0.054
2.493,0.053
2.498,0.052
2.504,0.051
2.51,0.05
2.515,0.049
2.521,0.048
2.529,0.047
2.535,0.046
2.541,0.045
2.548,0.044
2.555,0.043
2.562,0.042
2.569,0.041
2.574,0.04
2.581,0.039
2.587,0.038
2.594,0.037
2.6,0.036
2.609,0.035
2.615,0.034
2.624,0.033
2.629,0.032
2.635,0.031
2.643,0.03
2.652,0.029
2.657,0.028
2.665,0.027
2.671,0.026
2.677,0.025
2.685,0.024
2.692,0.023
2.699,0.022
2.706,0.021
2.712,0.02
2.721,0.019
2.728,0.018
2.735,0.017
2.741,0.016
2.749,0.015
2.756,0.014
2.766,0.013
2.773,0.012
2.783,0.011
2.792,0.01
2.801,0.009
2.807,0.008
2.816,0.007
2.824,0.006
2.833,0.005
