time,position,velocity
0.001,0.699,-1.0
0.002,0.698,-1.0
0.005,0.697,-0.333
0.007,0.696,-0.5
0.009,0.695,-0.5
0.011,0.694,-0.5
0.014,0.693,-0.333
0.016,0.692,-0.5
0.018,0.691,-0.5
0.02,0.69,-0.5
0.022,0.689,-0.5
0.024,0.688,-0.5
0.026,0.687,-0.5
0.028,0.686,-0.5
0.03,0.685,-0.5
0.032,0.684,-0.5
0.035,0.683,-0.333
0.037,0.682,-0.5
0.04,0.681,-0.333
0.042,0.68,-0.5
0.044,0.679,-0.5
0.046,0.678,-0.5
0.049,0.677,-0.333
0.051,0.676,-0.5
0.053,0.675,-0.5
0.056,0.674,-0.333
0.058,0.673,-0.5
0.06,0.672,-0.5
0.063,0.671,-0.333
0.065,0.67,-0.5
0.068,0.669,-0.333
0.07,0.668,-0.5
0.072,0.667,-0.5
0.074,0.666,-0.5
0.076,0.665,-0.5
0.078,0.664,-0.5
0.081,0.663,-0.333
0.083,0.662,-0.5
0.085,0.661,-0.5
0.087,0.66,-0.5
0.089,0.659,-0.5
0.091,0.658,-0.5
0.094,0.657,-0.333
0.096,0.656,-0.5
0.098,0.655,-0.5
0.101,0.654,-0.333
0.103,0.653,-0.5
0.105,0.652,-0.5
0.108,0.651,-0.333
0.109,0.65,-1.0
0.113,0.649,-0.25
0.114,0.648,-1.0
0.117,0.647,-0.333
0.119,0.646,-0.5
0.122,0.645,-0.333
0.125,0.644,-0.333
0.127,0.643,-0.5
0.129,0.642,-0.5
0.132,0.641,-0.333
0.134,0.64,-0.5
0.136,0.639,-0.5
0.139,0.638,-0.333
0.141,0.637,-0.5
0.143,0.636,-0.5
0.146,0.635,-0.333
0.149,0.634,-0.333
0.151,0.633,-0.5
0.153,0.632,-0.5
0.155,0.631,-0.5
0.157,0.63,-0.5
0.16,0.629,-0.333
0.163,0.628,-0.333
0.165,0.627,-0.5
0.168,0.626,-0.333
0.17,0.625,-0.5
0.172,0.624,-0.5
0.175,0.623,-0.333
0.177,0.622,-0.5
0.179,0.621,-0.5
0.182,0.62,-0.333
0.184,0.619,-0.5
0.186,0.618,-0.5
0.189,0.617,-0.333
0.191,0.616,-0.5
0.194,0.615,-0.333
0.197,0.614,-0.333
0.2,0.613,-0.333
0.202,0.612,-0.5
0.204,0.611,-0.5
0.207,0.61,-0.333
0.21,0.609,-0.333
0.211,0.608,-1.0
0.215,0.607,-0.25
0.216,0.606,-1.0
0.219,0.605,-0.333
0.222,0.604,-0.333
0.225,0.603,-0.333
0.227,0.602,-0.5
0.23,0.601,-0.333
0.232,0.6,-0.5
0.234,0.599,-0.5
0.237,0.598,-0.333
0.239,0.597,-0.5
0.241,0.596,-0.5
0.244,0.595,-0.333
0.246,0.594,-0.5
0.249,0.593,-0.333
0.252,0.592,-0.333
0.254,0.591,-0.5
0.256,0.59,-0.5
0.259,0.589,-0.333
0.261,0.588,-0.5
0.264,0.587,-0.333
0.267,0.586,-0.333
0.269,0.585,-0.5
0.272,0.584,-0.333
0.274,0.583,-0.5
0.277,0.582,-0.333
0.28,0.581,-0.333
0.283,0.58,-0.333
0.285,0.579,-0.5
0.288,0.578,-0.333
0.29,0.577,-0.5
0.293,0.576,-0.333
0.296,0.575,-0.333
0.298,0.574,-0.5
0.301,0.573,-0.333
0.304,0.572,-0.333
0.306,0.571,-0.5
0.308,0.57,-0.5
0.311,0.569,-0.333
0.313,0.568,-0.5
0.316,0.567,-0.333
0.319,0.566,-0.333
0.321,0.565,-0.5
0.324,0.564,-0.333
0.327,0.563,-0.333
0.329,0.562,-0.5
0.332,0.561,-0.333
0.334,0.56,-0.5
0.337,0.559,-0.333
0.34,0.558,-0.333
0.343,0.557,-0.333
0.346,0.556,-0.333
0.349,0.555,-0.333
0.352,0.554,-0.333
0.355,0.553,-0.333
0.357,0.552,-0.5
0.36,0.551,-0.333
0.363,0.55,-0.333
0.366,0.549,-0.333
0.369,0.548,-0.333
0.372,0.547,-0.333
0.374,0.546,-0.5
0.377,0.545,-0.333
0.38,0.544,-0.333
0.383,0.543,-0.333
0.386,0.542,-0.333
0.389,0.541,-0.333
0.391,0.54,-0.5
0.394,0.539,-0.333
0.397,0.538,-0.333
0.4,0.537,-0.333
0.403,0.536,-0.333
0.406,0.535,-0.333
0.409,0.534,-0.333
0.412,0.533,-0.333
0.414,0.532,-0.5
0.418,0.531,-0.25
0.42,0.53,-0.5
0.423,0.529,-0.333
0.426,0.528,-0.333
0.429,0.527,-0.333
0.431,0.526,-0.5
0.434,0.525,-0.333
0.437,0.524,-0.333
0.44,0.523,-0.333
0.443,0.522,-0.333
0.446,0.521,-0.333
0.448,0.52,-0.5
0.451,0.519,-0.333
0.453,0.518,-0.5
0.457,0.517,-0.25
0.46,0.516,-0.333
0.463,0.515,-0.333
0.466,0.514,-0.333
0.469,0.513,-0.333
0.471,0.512,-0.5
0.474,0.511,-0.333
0.477,0.51,-0.333
0.48,0.509,-0.333
0.484,0.508,-0.25
0.486,0.507,-0.5
0.489,0.506,-0.333
0.492,0.505,-0.333
0.495,0.504,-0.333
0.498,0.503,-0.333
0.501,0.502,-0.333
0.504,0.501,-0.333
0.508,0.5,-0.25
0.511,0.499,-0.333
0.514,0.498,-0.333
0.517,0.497,-0.333
0.52,0.496,-0.333
0.523,0.495,-0.333
0.526,0.494,-0.333
0.529,0.493,-0.333
0.532,0.492,-0.333
0.535,0.491,-0.333
0.538,0.49,-0.333
0.541,0.489,-0.333
0.544,0.488,-0.333
0.547,0.487,-0.333
0.55,0.486,-0.333
0.553,0.485,-0.333
0.556,0.484,-0.333
0.559,0.483,-0.333
0.562,0.482,-0.333
0.565,0.481,-0.333
0.568,0.48,-0.333
0.572,0.479,-0.25
0.575,0.478,-0.333
0.579,0.477,-0.25
0.581,0.476,-0.5
0.585,0.475,-0.25
