,time,position,velocity
0,0.0,0.7,0.0
1,0.01,0.692,0.8
2,0.02,0.687,0.5
3,0.03,0.683,0.4
4,0.04,0.679,0.4
5,0.05,0.675,0.4
6,0.06,0.671,0.4
7,0.07,0.668,0.3
8,0.08,0.663,0.5
9,0.09,0.659,0.4
10,0.1,0.655,0.4
11,0.11,0.651,0.4
12,0.12,0.647,0.4
13,0.13,0.644,0.3
14,0.14,0.641,0.3
15,0.15,0.638,0.3
16,0.16,0.634,0.4
17,0.17,0.63,0.4
18,0.18,0.625,0.5
19,0.19,0.621,0.4
20,0.2,0.617,0.4
21,0.21,0.614,0.3
22,0.22,0.61,0.4
23,0.23,0.606,0.4
24,0.24,0.601,0.5
25,0.25,0.598,0.3
26,0.26,0.594,0.4
27,0.27,0.591,0.3
28,0.28,0.588,0.3
29,0.29,0.584,0.4
30,0.3,0.581,0.3
31,0.31,0.577,0.4
32,0.32,0.574,0.3
33,0.33,0.57,0.4
34,0.34,0.566,0.4
35,0.35,0.563,0.3
36,0.36,0.559,0.4
37,0.37,0.555,0.4
38,0.38,0.552,0.3
39,0.39,0.549,0.3
40,0.4,0.545,0.4
41,0.41,0.542,0.3
42,0.42,0.539,0.3
43,0.43,0.535,0.4
44,0.44,0.531,0.4
45,0.45,0.528,0.3
46,0.46,0.525,0.3
47,0.47,0.521,0.4
48,0.48,0.518,0.3
49,0.49,0.515,0.3
50,0.5,0.511,0.4
51,0.51,0.508,0.3
52,0.52,0.505,0.3
53,0.53,0.501,0.4
54,0.54,0.498,0.3
55,0.55,0.495,0.3
56,0.56,0.492,0.3
57,0.57,0.489,0.3
58,0.58,0.486,0.3
59,0.59,0.483,0.3
60,0.6,0.479,0.4
61,0.61,0.476,0.3
62,0.62,0.473,0.3
63,0.63,0.47,0.3
64,0.64,0.466,0.4
65,0.65,0.463,0.3
66,0.66,0.46,0.3
67,0.67,0.457,0.3
68,0.68,0.454,0.3
69,0.69,0.451,0.3
70,0.7,0.448,0.3
71,0.71,0.446,0.2
72,0.72,0.443,0.3
73,0.73,0.44,0.3
74,0.74,0.438,0.2
75,0.75,0.435,0.3
76,0.76,0.432,0.3
77,0.77,0.429,0.3
78,0.78,0.427,0.2
79,0.79,0.425,0.2
