,Unnamed: 0,time,position,velocity
0,0,0.0,0.7,0.0
1,2,0.01,0.689,1.1
2,3,0.02,0.684,0.5
3,4,0.03,0.678,0.6
4,5,0.04,0.672,0.6
5,6,0.05,0.666,0.6
6,7,0.06,0.66,0.6
7,8,0.07,0.653,0.7
8,9,0.08,0.647,0.6
9,10,0.09,0.641,0.6
10,11,0.1,0.635,0.6
11,12,0.11,0.629,0.6
12,13,0.12,0.625,0.4
13,14,0.13,0.621,0.4
14,15,0.14,0.614,0.7
15,16,0.15,0.609,0.5
16,17,0.16,0.604,0.5
17,18,0.17,0.598,0.6
18,19,0.18,0.591,0.7
19,20,0.19,0.586,0.5
20,21,0.2,0.58,0.6
21,22,0.21,0.575,0.5
22,23,0.22,0.569,0.6
23,24,0.23,0.563,0.6
24,25,0.24,0.559,0.4
25,26,0.25,0.553,0.6
26,27,0.26,0.548,0.5
27,28,0.27,0.544,0.4
28,29,0.28,0.539,0.5
29,30,0.29,0.534,0.5
30,31,0.3,0.528,0.6
31,32,0.31,0.524,0.4
32,33,0.32,0.519,0.5
33,34,0.33,0.515,0.4
34,35,0.34,0.509,0.6
35,36,0.35,0.503,0.6
36,37,0.36,0.497,0.6
37,38,0.37,0.493,0.4
38,39,0.38,0.488,0.5
39,40,0.39,0.483,0.5
40,41,0.4,0.478,0.5
41,42,0.41,0.473,0.5
42,43,0.42,0.469,0.4
43,44,0.43,0.465,0.4
44,45,0.44,0.461,0.4
45,46,0.45,0.456,0.5
46,47,0.46,0.451,0.5
47,48,0.47,0.447,0.4
48,49,0.48,0.443,0.4
49,50,0.49,0.438,0.5
50,51,0.5,0.434,0.4
51,52,0.51,0.429,0.5
52,53,0.52,0.425,0.4
53,54,0.53,0.42,0.5
54,55,0.54,0.417,0.3
55,56,0.55,0.414,0.3
56,57,0.56,0.41,0.4
57,58,0.57,0.405,0.5
58,59,0.58,0.401,0.4
59,60,0.59,0.398,0.3
60,61,0.6,0.393,0.5
61,62,0.61,0.388,0.5
62,63,0.62,0.385,0.3
63,64,0.63,0.382,0.3
64,65,0.64,0.379,0.3
65,66,0.65,0.375,0.4
66,67,0.66,0.371,0.4
67,68,0.67,0.367,0.4
68,69,0.68,0.363,0.4
69,70,0.69,0.36,0.3
70,71,0.7,0.355,0.5
71,72,0.71,0.351,0.4
72,73,0.72,0.348,0.3
73,74,0.73,0.344,0.4
74,75,0.74,0.34,0.4
75,76,0.75,0.335,0.5
76,77,0.76,0.332,0.3
77,78,0.77,0.328,0.4
78,79,0.78,0.324,0.4
79,80,0.79,0.32,0.4
80,81,0.8,0.316,0.4
81,82,0.81,0.313,0.3
82,83,0.82,0.31,0.3
83,84,0.83,0.307,0.3
84,85,0.84,0.304,0.3
85,86,0.85,0.3,0.4
86,87,0.86,0.296,0.4
87,88,0.87,0.293,0.3
88,89,0.88,0.29,0.3
89,90,0.89,0.286,0.4
90,91,0.9,0.282,0.4
91,92,0.91,0.279,0.3
92,93,0.92,0.276,0.3
93,94,0.93,0.272,0.4
94,95,0.94,0.268,0.4
95,96,0.95,0.265,0.3
96,97,0.96,0.262,0.3
97,98,0.97,0.259,0.3
98,99,0.98,0.255,0.4
99,100,0.99,0.251,0.4
100,101,1.0,0.248,0.3
101,102,1.01,0.245,0.3
102,103,1.02,0.242,0.3
103,104,1.03,0.239,0.3
104,105,1.04,0.235,0.4
105,106,1.05,0.232,0.3
106,107,1.06,0.228,0.4
107,108,1.07,0.225,0.3
108,109,1.08,0.221,0.4
109,110,1.09,0.218,0.3
110,111,1.1,0.215,0.3
111,112,1.11,0.212,0.3
112,113,1.12,0.208,0.4
113,114,1.13,0.204,0.4
114,115,1.14,0.201,0.3
115,116,1.15,0.198,0.3
116,117,1.16,0.195,0.3
117,118,1.17,0.192,0.3
118,119,1.18,0.188,0.4
119,120,1.19,0.185,0.3
120,121,1.2,0.182,0.3
121,122,1.21,0.179,0.3
122,123,1.22,0.176,0.3
123,124,1.23,0.173,0.3
124,125,1.24,0.17,0.3
125,126,1.25,0.167,0.3
126,127,1.26,0.164,0.3
127,128,1.27,0.161,0.3
128,129,1.28,0.158,0.3
129,130,1.29,0.155,0.3
130,131,1.3,0.152,0.3
131,132,1.31,0.149,0.3
132,133,1.32,0.146,0.3
133,134,1.33,0.143,0.3
134,135,1.34,0.14,0.3
135,136,1.35,0.137,0.3
136,137,1.36,0.134,0.3
137,138,1.37,0.131,0.3
138,139,1.38,0.128,0.3
139,140,1.39,0.125,0.3
140,141,1.4,0.122,0.3
141,142,1.41,0.119,0.3
142,143,1.42,0.116,0.3
143,144,1.43,0.113,0.3
144,145,1.44,0.111,0.2
145,146,1.45,0.108,0.3
146,147,1.46,0.105,0.3
147,148,1.47,0.103,0.2
148,149,1.48,0.1,0.3
149,150,1.49,0.097,0.3
150,151,1.5,0.094,0.3
151,152,1.51,0.091,0.3
152,153,1.52,0.088,0.3
153,154,1.53,0.085,0.3
154,155,1.54,0.082,0.3
155,156,1.55,0.08,0.2
156,157,1.56,0.077,0.3
157,158,1.57,0.074,0.3
158,159,1.58,0.072,0.2
159,160,1.59,0.069,0.3
160,161,1.6,0.067,0.2
161,162,1.61,0.064,0.3
162,163,1.62,0.061,0.3
163,164,1.63,0.059,0.2
164,165,1.64,0.057,0.2
165,166,1.65,0.054,0.3
166,167,1.66,0.052,0.2
167,168,1.67,0.049,0.3
168,169,1.68,0.046,0.3
169,170,1.69,0.043,0.3
170,171,1.7,0.04,0.3
