Unnamed: 0,time,position,velocity
0,0.0,0.7,0.0
2,0.001,0.699,-1.0
4,0.003,0.698,-0.5
6,0.005,0.697,-0.5
8,0.007,0.696,-0.5
10,0.009,0.695,-0.5
12,0.011,0.694,-0.5
14,0.013,0.693,-0.5
17,0.016,0.692,-0.333
19,0.018,0.691,-0.5
21,0.02,0.69,-0.5
23,0.022,0.689,-0.5
25,0.024,0.688,-0.5
27,0.026,0.687,-0.5
29,0.028,0.686,-0.5
32,0.031,0.685,-0.333
34,0.033,0.684,-0.5
36,0.035,0.683,-0.5
38,0.037,0.682,-0.5
40,0.039,0.681,-0.5
42,0.041,0.68,-0.5
45,0.044,0.679,-0.333
47,0.046,0.678,-0.5
49,0.048,0.677,-0.5
51,0.05,0.676,-0.5
53,0.052,0.675,-0.5
55,0.054,0.674,-0.5
57,0.056,0.673,-0.5
60,0.059,0.672,-0.333
62,0.061,0.671,-0.5
64,0.063,0.67,-0.5
66,0.065,0.669,-0.5
68,0.067,0.668,-0.5
71,0.07,0.667,-0.333
73,0.072,0.666,-0.5
75,0.074,0.665,-0.5
78,0.077,0.664,-0.333
80,0.079,0.663,-0.5
82,0.081,0.662,-0.5
84,0.083,0.661,-0.5
86,0.085,0.66,-0.5
88,0.087,0.659,-0.5
90,0.089,0.658,-0.5
93,0.092,0.657,-0.333
95,0.094,0.656,-0.5
98,0.097,0.655,-0.333
100,0.099,0.654,-0.5
103,0.102,0.653,-0.333
105,0.104,0.652,-0.5
108,0.107,0.651,-0.333
110,0.109,0.65,-0.5
113,0.112,0.649,-0.333
115,0.114,0.648,-0.5
118,0.117,0.647,-0.333
121,0.12,0.646,-0.333
124,0.123,0.645,-0.333
126,0.125,0.644,-0.5
128,0.127,0.643,-0.5
130,0.129,0.642,-0.5
133,0.132,0.641,-0.333
135,0.134,0.64,-0.5
138,0.137,0.639,-0.333
140,0.139,0.638,-0.5
143,0.142,0.637,-0.333
145,0.144,0.636,-0.5
147,0.146,0.635,-0.5
150,0.149,0.634,-0.333
152,0.151,0.633,-0.5
155,0.154,0.632,-0.333
157,0.156,0.631,-0.5
159,0.158,0.63,-0.5
162,0.161,0.629,-0.333
164,0.163,0.628,-0.5
167,0.166,0.627,-0.333
169,0.168,0.626,-0.5
171,0.17,0.625,-0.5
173,0.172,0.624,-0.5
176,0.175,0.623,-0.333
179,0.178,0.622,-0.333
181,0.18,0.621,-0.5
184,0.183,0.62,-0.333
186,0.185,0.619,-0.5
189,0.188,0.618,-0.333
191,0.19,0.617,-0.5
194,0.193,0.616,-0.333
196,0.195,0.615,-0.5
198,0.197,0.614,-0.5
201,0.2,0.613,-0.333
203,0.202,0.612,-0.5
206,0.205,0.611,-0.333
208,0.207,0.61,-0.5
211,0.21,0.609,-0.333
213,0.212,0.608,-0.5
216,0.215,0.607,-0.333
219,0.218,0.606,-0.333
221,0.22,0.605,-0.5
223,0.222,0.604,-0.5
226,0.225,0.603,-0.333
229,0.228,0.602,-0.333
232,0.231,0.601,-0.333
234,0.233,0.6,-0.5
236,0.235,0.599,-0.5
238,0.237,0.598,-0.5
240,0.239,0.597,-0.5
243,0.242,0.596,-0.333
245,0.244,0.595,-0.5
248,0.247,0.594,-0.333
251,0.25,0.593,-0.333
253,0.252,0.592,-0.5
256,0.255,0.591,-0.333
259,0.258,0.59,-0.333
262,0.261,0.589,-0.333
264,0.263,0.588,-0.5
267,0.266,0.587,-0.333
269,0.268,0.586,-0.5
272,0.271,0.585,-0.333
274,0.273,0.584,-0.5
277,0.276,0.583,-0.333
280,0.279,0.582,-0.333
282,0.281,0.581,-0.5
285,0.284,0.58,-0.333
288,0.287,0.579,-0.333
290,0.289,0.578,-0.5
293,0.292,0.577,-0.333
295,0.294,0.576,-0.5
298,0.297,0.575,-0.333
301,0.3,0.574,-0.333
304,0.303,0.573,-0.333
306,0.305,0.572,-0.5
310,0.309,0.571,-0.25
312,0.311,0.57,-0.5
316,0.315,0.569,-0.25
318,0.317,0.568,-0.5
321,0.32,0.567,-0.333
324,0.323,0.566,-0.333
327,0.326,0.565,-0.333
330,0.329,0.564,-0.333
333,0.332,0.563,-0.333
335,0.334,0.562,-0.5
338,0.337,0.561,-0.333
341,0.34,0.56,-0.333
343,0.342,0.559,-0.5
346,0.345,0.558,-0.333
349,0.348,0.557,-0.333
351,0.35,0.556,-0.5
354,0.353,0.555,-0.333
357,0.356,0.554,-0.333
360,0.359,0.553,-0.333
362,0.361,0.552,-0.5
365,0.364,0.551,-0.333
367,0.366,0.55,-0.5
370,0.369,0.549,-0.333
373,0.372,0.548,-0.333
376,0.375,0.547,-0.333
378,0.377,0.546,-0.5
382,0.381,0.545,-0.25
384,0.383,0.544,-0.5
387,0.386,0.543,-0.333
390,0.389,0.542,-0.333
393,0.392,0.541,-0.333
395,0.394,0.54,-0.5
398,0.397,0.539,-0.333
400,0.399,0.538,-0.5
404,0.403,0.537,-0.25
406,0.405,0.536,-0.5
409,0.408,0.535,-0.333
412,0.411,0.534,-0.333
415,0.414,0.533,-0.333
418,0.417,0.532,-0.333
421,0.42,0.531,-0.333
424,0.423,0.53,-0.333
427,0.426,0.529,-0.333
430,0.429,0.528,-0.333
433,0.432,0.527,-0.333
436,0.435,0.526,-0.333
439,0.438,0.525,-0.333
441,0.44,0.524,-0.5
444,0.443,0.523,-0.333
447,0.446,0.522,-0.333
450,0.449,0.521,-0.333
453,0.452,0.52,-0.333
456,0.455,0.519,-0.333
458,0.457,0.518,-0.5
461,0.46,0.517,-0.333
463,0.462,0.516,-0.5
467,0.466,0.515,-0.25
469,0.468,0.514,-0.5
472,0.471,0.513,-0.333
475,0.474,0.512,-0.333
478,0.477,0.511,-0.333
481,0.48,0.51,-0.333
483,0.482,0.509,-0.5
486,0.485,0.508,-0.333
489,0.488,0.507,-0.333
491,0.49,0.506,-0.5
494,0.493,0.505,-0.333
498,0.497,0.504,-0.25
501,0.5,0.503,-0.333
503,0.502,0.502,-0.5
506,0.505,0.501,-0.333
509,0.508,0.5,-0.333
512,0.511,0.499,-0.333
515,0.514,0.498,-0.333
518,0.517,0.497,-0.333
521,0.52,0.496,-0.333
524,0.523,0.495,-0.333
527,0.526,0.494,-0.333
530,0.529,0.493,-0.333
532,0.531,0.492,-0.5
536,0.535,0.491,-0.25
538,0.537,0.49,-0.5
542,0.541,0.489,-0.25
544,0.543,0.488,-0.5
548,0.547,0.487,-0.25
551,0.55,0.486,-0.333
554,0.553,0.485,-0.333
557,0.556,0.484,-0.333
560,0.559,0.483,-0.333
563,0.562,0.482,-0.333
567,0.566,0.481,-0.25
570,0.569,0.48,-0.333
574,0.573,0.479,-0.25
577,0.576,0.478,-0.333
580,0.579,0.477,-0.333
582,0.581,0.476,-0.5
586,0.585,0.475,-0.25
589,0.588,0.474,-0.333
592,0.591,0.473,-0.333
595,0.594,0.472,-0.333
599,0.598,0.471,-0.25
601,0.6,0.47,-0.5
605,0.604,0.469,-0.25
607,0.606,0.468,-0.5
610,0.609,0.467,-0.333
614,0.613,0.466,-0.25
617,0.616,0.465,-0.333
620,0.619,0.464,-0.333
623,0.622,0.463,-0.333
625,0.624,0.462,-0.5
628,0.627,0.461,-0.333
632,0.631,0.46,-0.25
635,0.634,0.459,-0.333
638,0.637,0.458,-0.333
642,0.641,0.457,-0.25
645,0.644,0.456,-0.333
