time,position,velocity
0.0,0.7,0.0
0.001,0.699,-1.0
0.002,0.698,-1.0
0.004,0.697,-0.5
0.006,0.696,-0.5
0.008,0.695,-0.5
0.01,0.694,-0.5
0.012,0.693,-0.5
0.014,0.692,-0.5
0.016,0.691,-0.5
0.017,0.69,-1.0
0.019,0.689,-0.5
0.02,0.688,-1.0
0.022,0.687,-0.5
0.024,0.686,-0.5
0.026,0.685,-0.5
0.028,0.684,-0.5
0.03,0.683,-0.5
0.031,0.682,-1.0
0.033,0.681,-0.5
0.035,0.68,-0.5
0.037,0.679,-0.5
0.038,0.678,-1.0
0.04,0.677,-0.5
0.042,0.676,-0.5
0.044,0.675,-0.5
0.045,0.674,-1.0
0.048,0.673,-0.333
0.049,0.672,-1.0
0.051,0.671,-0.5
0.052,0.67,-1.0
0.054,0.669,-0.5
0.056,0.668,-0.5
0.058,0.667,-0.5
0.06,0.666,-0.5
0.062,0.665,-0.5
0.063,0.664,-1.0
0.066,0.663,-0.333
0.067,0.662,-1.0
0.069,0.661,-0.5
0.071,0.66,-0.5
0.073,0.659,-0.5
0.075,0.658,-0.5
0.077,0.657,-0.5
0.079,0.656,-0.5
0.081,0.655,-0.5
0.083,0.654,-0.5
0.085,0.653,-0.5
0.087,0.652,-0.5
0.089,0.651,-0.5
0.091,0.65,-0.5
0.094,0.649,-0.333
0.096,0.648,-0.5
0.098,0.647,-0.5
0.1,0.646,-0.5
0.102,0.645,-0.5
0.104,0.644,-0.5
0.106,0.643,-0.5
0.108,0.642,-0.5
0.11,0.641,-0.5
0.112,0.64,-0.5
0.114,0.639,-0.5
0.116,0.638,-0.5
0.118,0.637,-0.5
0.12,0.636,-0.5
0.122,0.635,-0.5
0.124,0.634,-0.5
0.126,0.633,-0.5
0.128,0.632,-0.5
0.13,0.631,-0.5
0.132,0.63,-0.5
0.134,0.629,-0.5
0.136,0.628,-0.5
0.138,0.627,-0.5
0.14,0.626,-0.5
0.142,0.625,-0.5
0.144,0.624,-0.5
0.146,0.623,-0.5
0.148,0.622,-0.5
0.15,0.621,-0.5
0.152,0.62,-0.5
0.155,0.619,-0.333
0.157,0.618,-0.5
0.159,0.617,-0.5
0.161,0.616,-0.5
0.163,0.615,-0.5
0.165,0.614,-0.5
0.167,0.613,-0.5
0.169,0.612,-0.5
0.171,0.611,-0.5
0.173,0.61,-0.5
0.175,0.609,-0.5
0.177,0.608,-0.5
0.179,0.607,-0.5
0.181,0.606,-0.5
0.183,0.605,-0.5
0.185,0.604,-0.5
0.188,0.603,-0.333
0.19,0.602,-0.5
0.192,0.601,-0.5
0.194,0.6,-0.5
0.197,0.599,-0.333
0.198,0.598,-1.0
0.201,0.597,-0.333
0.203,0.596,-0.5
0.205,0.595,-0.5
0.207,0.594,-0.5
0.209,0.593,-0.5
0.211,0.592,-0.5
0.213,0.591,-0.5
0.215,0.59,-0.5
0.217,0.589,-0.5
0.219,0.588,-0.5
0.222,0.587,-0.333
0.223,0.586,-1.0
0.226,0.585,-0.333
0.228,0.584,-0.5
0.231,0.583,-0.333
0.232,0.582,-1.0
0.235,0.581,-0.333
0.237,0.58,-0.5
0.24,0.579,-0.333
0.242,0.578,-0.5
0.244,0.577,-0.5
0.246,0.576,-0.5
0.248,0.575,-0.5
