time,position
0.0,70.0
0.0,70.0
0.01,70.0
0.02,70.0
0.03,70.0
0.04,68.9
0.05,68.9
0.06,68.9
0.07,68.9
0.08,68.9
0.09,67.7
0.1,67.7
0.11,66.8
0.12,66.8
0.13,65.7
0.14,65.7
0.15,64.7
0.16,64.7
0.17,63.7
0.18,63.7
0.19,63.7
0.2,63.7
0.21,63.7
0.22,63.7
0.23,63.7
0.24,63.7
0.25,63.7
0.26,63.7
0.27,63.7
0.28,63.7
0.29,63.7
0.3,63.7
0.31,62.5
0.32,62.5
0.33,62.5
0.34,62.5
0.35,62.5
0.36,62.5
0.37,62.5
0.38,62.5
0.39,61.5
0.4,61.5
0.41,60.5
0.42,60.5
0.43,60.5
0.44,60.5
0.45,60.5
0.46,60.5
0.47,59.4
0.48,59.4
0.49,59.4
0.5,59.4
0.51,59.4
0.52,58.2
0.53,57.4
0.54,56.6
0.55,56.6
0.56,55.9
0.57,55.9
0.58,55.9
0.59,55.9
0.6,54.9
0.61,54.9
0.62,54.9
0.63,54.9
0.64,54.1
0.65,54.1
0.66,54.1
0.67,54.1
0.68,53.3
0.69,53.3
0.7,52.5
0.71,52.5
0.72,52.5
0.73,51.6
0.74,51.6
0.75,51.6
0.76,51.6
0.77,51.6
0.78,51.6
0.79,51.6
0.8,51.6
0.81,51.6
0.82,51.6
0.83,50.7
0.84,50.7
0.85,50.7
0.86,50.7
0.87,50.7
0.88,50.7
0.89,50.7
0.9,50.7
0.91,50.7
0.92,50.7
0.93,50.7
0.94,49.7
0.95,49.7
0.96,49.7
0.97,48.6
0.98,47.4
0.99,46.6
1.0,45.5
1.01,45.5
1.02,44.3
1.03,43.6
1.04,43.6
1.05,42.7
1.06,42.7
1.07,42.7
1.08,42.7
1.09,42.7
1.1,41.6
1.11,41.6
1.12,41.6
1.13,41.6
1.14,41.6
1.15,41.6
1.16,40.5
1.17,40.5
1.18,40.5
1.19,40.5
1.2,40.5
1.21,40.5
1.22,39.7
1.23,39.7
1.24,39.7
1.25,38.8
1.26,37.9
1.27,37.9
1.28,37.9
1.29,37.9
1.3,37.9
1.31,37.9
1.32,37.9
1.33,37.9
1.34,37.9
1.35,37.9
1.36,37.9
1.37,37.9
1.38,36.9
1.39,36.9
1.4,36.9
1.41,36.9
1.42,36.9
1.43,36.9
1.44,36.9
1.45,36.9
1.46,36.9
1.47,35.9
1.48,35.9
1.49,35.9
1.5,35.9
1.51,35.9
1.52,35.9
1.53,35.9
1.54,35.0
1.55,33.9
1.56,33.9
1.57,33.9
1.58,33.9
1.59,33.9
1.6,33.9
1.61,33.9
1.62,33.9
1.63,32.7
1.64,32.7
1.65,32.7
1.66,31.8
1.67,31.8
1.68,31.0
1.69,31.0
1.7,31.0
1.71,31.0
1.72,31.0
1.73,30.2
1.74,30.2
1.75,30.2
1.76,29.2
1.77,29.2
1.78,29.2
1.79,29.2
1.8,29.2
1.81,29.2
1.82,28.0
1.83,26.9
1.84,26.9
1.85,25.9
1.86,25.2
1.87,25.2
1.88,24.5
1.89,24.5
1.9,24.5
1.91,24.5
1.92,24.5
1.93,23.3
1.94,23.3
1.95,23.3
1.96,23.3
1.97,23.3
1.98,23.3
1.99,23.3
2.0,23.3
2.01,23.3
2.02,23.3
2.03,22.2
2.04,22.2
2.05,22.2
2.06,22.2
2.07,22.2
2.08,22.2
2.09,22.2
2.1,22.2
2.11,22.2
2.12,22.2
2.13,21.3
2.14,21.3
2.15,21.3
2.16,21.3
2.17,21.3
2.18,20.4
2.19,19.7
2.2,19.7
2.21,18.8
2.22,18.8
2.23,17.9
2.24,17.9
2.25,17.9
2.26,17.0
2.27,17.0
2.28,17.0
2.29,17.0
2.3,16.0
2.31,16.0
2.32,14.9
2.33,14.9
2.34,14.9
2.35,14.2
2.36,14.2
2.37,14.2
2.38,13.2
2.39,13.2
2.4,13.2
2.41,12.4
2.42,12.4
2.43,11.2
2.44,11.2
2.45,10.5
2.46,10.5
2.47,10.5
2.48,9.7
2.49,9.7
2.5,9.7
2.51,8.6
2.52,8.6
2.53,8.6
2.54,8.6
2.55,8.6
2.56,7.4
2.57,6.4
2.58,5.5
2.59,4.4
2.6,4.4
2.61,3.4
2.62,3.4
2.63,3.4
2.64,3.4
2.65,3.4
2.66,2.5
2.67,2.5
2.68,1.7
2.69,1.7
2.7,1.7
2.71,1.7
2.72,1.7
2.73,1.7
2.74,1.7
2.75,1.7
2.76,1.7
2.77,1.7
2.78,1.7
2.79,1.7
