time,position
0.0,70.0
0.0,70.0
0.01,70.0
0.02,69.1
0.03,69.1
0.04,68.1
0.05,68.1
0.06,67.1
0.07,67.1
0.08,66.1
0.09,66.1
0.1,66.1
0.11,66.1
0.12,65.3
0.13,65.3
0.14,64.4
0.15,63.6
0.16,62.4
0.17,62.4
0.18,62.4
0.19,61.4
0.2,61.4
0.21,61.4
0.22,61.4
0.23,61.4
0.24,61.4
0.25,61.4
0.26,61.4
0.27,61.4
0.28,61.4
0.29,61.4
0.3,61.4
0.31,61.4
0.32,61.4
0.33,61.4
0.34,61.4
0.35,61.4
0.36,61.4
0.37,61.4
0.38,61.4
0.39,61.4
0.4,61.4
0.41,60.3
0.42,60.3
0.43,59.2
0.44,58.1
0.45,58.1
0.46,57.0
0.47,57.0
0.48,55.8
0.49,55.1
0.5,55.1
0.51,55.1
0.52,54.2
0.53,53.2
0.54,52.3
0.55,52.3
0.56,52.3
0.57,52.3
0.58,51.2
0.59,51.2
0.6,50.3
0.61,50.3
0.62,50.3
0.63,49.2
0.64,49.2
0.65,49.2
0.66,49.2
0.67,49.2
0.68,48.1
0.69,48.1
0.7,47.3
0.71,46.3
0.72,45.6
0.73,44.4
0.74,44.4
0.75,44.4
0.76,44.4
0.77,44.4
0.78,44.4
0.79,44.4
0.8,44.4
0.81,43.5
0.82,43.5
0.83,43.5
0.84,42.7
0.85,42.7
0.86,42.7
0.87,42.7
0.88,41.9
0.89,41.1
0.9,40.3
0.91,40.3
0.92,40.3
0.93,39.2
0.94,39.2
0.95,39.2
0.96,39.2
0.97,38.2
0.98,38.2
0.99,37.5
1.0,36.4
1.01,36.4
1.02,36.4
1.03,35.7
1.04,35.7
1.05,35.7
1.06,35.7
1.07,35.7
1.08,35.7
1.09,35.7
1.1,34.6
1.11,34.6
1.12,33.9
1.13,33.9
1.14,33.9
1.15,33.9
1.16,33.0
1.17,31.9
1.18,31.9
1.19,31.2
1.2,30.4
1.21,30.4
1.22,30.4
1.23,30.4
1.24,30.4
1.25,29.4
1.26,29.4
1.27,29.4
1.28,29.4
1.29,29.4
1.3,29.4
1.31,29.4
1.32,29.4
1.33,29.4
1.34,29.4
1.35,29.4
1.36,29.4
1.37,28.3
1.38,27.2
1.39,27.2
1.4,27.2
1.41,27.2
1.42,27.2
1.43,27.2
1.44,27.2
1.45,27.2
1.46,26.4
1.47,26.4
1.48,26.4
1.49,26.4
1.5,25.5
1.51,25.5
1.52,25.5
1.53,25.5
1.54,24.6
1.55,24.6
1.56,23.6
1.57,23.6
1.58,23.6
1.59,23.6
1.6,22.4
1.61,22.4
1.62,21.7
1.63,20.8
1.64,20.8
1.65,20.0
1.66,20.0
1.67,20.0
1.68,20.0
1.69,19.0
1.7,19.0
1.71,19.0
1.72,19.0
1.73,19.0
1.74,18.0
1.75,18.0
1.76,18.0
1.77,16.8
1.78,16.8
1.79,16.8
1.8,15.7
1.81,15.7
1.82,15.7
1.83,15.7
1.84,15.7
1.85,15.7
1.86,15.7
1.87,15.7
1.88,15.7
1.89,15.7
1.9,14.8
1.91,14.8
1.92,13.7
1.93,13.7
1.94,12.9
1.95,12.9
1.96,12.9
1.97,11.8
1.98,11.8
1.99,11.8
2.0,11.1
2.01,11.1
2.02,11.1
2.03,9.9
2.04,9.0
2.05,9.0
2.06,9.0
2.07,9.0
2.08,9.0
2.09,8.0
2.1,8.0
2.11,8.0
2.12,8.0
2.13,8.0
2.14,8.0
2.15,8.0
2.16,8.0
2.17,8.0
2.18,8.0
2.19,8.0
2.2,8.0
2.21,6.9
2.22,6.9
2.23,5.8
2.24,4.6
2.25,4.6
2.26,4.6
2.27,4.6
2.28,4.6
2.29,4.6
2.3,4.6
2.31,4.6
2.32,3.8
2.33,3.8
2.34,3.8
2.35,3.8
2.36,3.8
2.37,3.8
2.38,3.8
2.39,3.8
2.4,3.8
2.41,3.8
2.42,3.8
2.43,3.8
2.44,3.1
2.45,3.1
2.46,3.1
2.47,3.1
2.48,2.1
2.49,1.1
2.5,1.1
2.51,1.1
2.52,1.1
2.53,1.1
